v4_2,Lower CI,Upper CI,two-year-intervals,Time,administrative-geography,Geography,sex,Sex,age-groups,AgeGroups
76.75,76.16,77.34,2008-10,2008-10,S12000006,Dumfries and Galloway,male,Male,0-1,00-01
75.57,74.75,76.38,2007-09,2007-09,W06000019,Blaenau Gwent,male,Male,0-1,00-01
75.25,74.43,76.07,2006-08,2006-08,W06000019,Blaenau Gwent,male,Male,0-1,00-01
78.6,77.78,79.42,2006-08,2006-08,W06000019,Blaenau Gwent,female,Female,0-1,00-01
79.54,78.74,80.33,2008-10,2008-10,W06000019,Blaenau Gwent,female,Female,0-1,00-01
78.94,78.11,79.76,2007-09,2007-09,W06000019,Blaenau Gwent,female,Female,0-1,00-01
75.82,75.01,76.64,2008-10,2008-10,W06000019,Blaenau Gwent,male,Male,0-1,00-01
81.12,80.45,81.79,2006-08,2006-08,S12000030,Stirling,female,Female,0-1,00-01
77.35,76.57,78.13,2007-09,2007-09,S12000030,Stirling,male,Male,0-1,00-01
81.66,80.98,82.34,2008-10,2008-10,S12000030,Stirling,female,Female,0-1,00-01
81.61,80.96,82.26,2007-09,2007-09,S12000030,Stirling,female,Female,0-1,00-01
77.08,76.33,77.83,2006-08,2006-08,S12000030,Stirling,male,Male,0-1,00-01
77.84,77.07,78.61,2008-10,2008-10,S12000030,Stirling,male,Male,0-1,00-01
76.42,75.87,76.97,2008-10,2008-10,S12000014,Falkirk,male,Male,0-1,00-01
75.2,74.65,75.74,2006-08,2006-08,S12000014,Falkirk,male,Male,0-1,00-01
79.66,79.18,80.14,2007-09,2007-09,S12000014,Falkirk,female,Female,0-1,00-01
75.99,75.44,76.55,2007-09,2007-09,S12000014,Falkirk,male,Male,0-1,00-01
80.21,79.71,80.71,2008-10,2008-10,S12000014,Falkirk,female,Female,0-1,00-01
79.51,79.03,79.98,2006-08,2006-08,S12000014,Falkirk,female,Female,0-1,00-01
79.98,79.6,80.36,2006-08,2006-08,N09000003,Belfast,female,Female,0-1,00-01
80.07,79.69,80.45,2007-09,2007-09,N09000003,Belfast,female,Female,0-1,00-01
80.18,79.8,80.57,2008-10,2008-10,N09000003,Belfast,female,Female,0-1,00-01
74.15,73.73,74.57,2006-08,2006-08,N09000003,Belfast,male,Male,0-1,00-01
74.36,73.94,74.78,2007-09,2007-09,N09000003,Belfast,male,Male,0-1,00-01
74.78,74.36,75.19,2008-10,2008-10,N09000003,Belfast,male,Male,0-1,00-01
77.29,76.71,77.87,2007-09,2007-09,W06000006,Wrexham,male,Male,0-1,00-01
80.8,80.24,81.37,2007-09,2007-09,W06000006,Wrexham,female,Female,0-1,00-01
77.48,76.88,78.08,2008-10,2008-10,W06000006,Wrexham,male,Male,0-1,00-01
80.67,80.12,81.23,2006-08,2006-08,W06000006,Wrexham,female,Female,0-1,00-01
81.1,80.54,81.66,2008-10,2008-10,W06000006,Wrexham,female,Female,0-1,00-01
77.15,76.57,77.73,2006-08,2006-08,W06000006,Wrexham,male,Male,0-1,00-01
78.85,78.37,79.34,2006-08,2006-08,S12000038,Renfrewshire,female,Female,0-1,00-01
79.32,78.85,79.79,2007-09,2007-09,S12000038,Renfrewshire,female,Female,0-1,00-01
79.66,79.2,80.12,2008-10,2008-10,S12000038,Renfrewshire,female,Female,0-1,00-01
73.77,73.19,74.34,2007-09,2007-09,S12000038,Renfrewshire,male,Male,0-1,00-01
73.71,73.15,74.26,2006-08,2006-08,S12000038,Renfrewshire,male,Male,0-1,00-01
73.95,73.38,74.52,2008-10,2008-10,S12000038,Renfrewshire,male,Male,0-1,00-01
74.95,73.99,75.91,2006-08,2006-08,W06000024,Merthyr Tydfil,male,Male,0-1,00-01
79.31,78.39,80.22,2007-09,2007-09,W06000024,Merthyr Tydfil,female,Female,0-1,00-01
75.63,74.72,76.55,2008-10,2008-10,W06000024,Merthyr Tydfil,male,Male,0-1,00-01
74.77,73.85,75.69,2007-09,2007-09,W06000024,Merthyr Tydfil,male,Male,0-1,00-01
